Date,Client ID,Product ID,Price,Quantity
5/1/20,38,131,12.02,7
5/1/20,64,131,12.02,52
5/1/20,74,131,12.02,[NULL]
5/1/20,74,14,12.43,31
5/1/20,50,14,12.43,103
5/1/20,38,14,12.43,917
5/1/20,82,14,12.43,2600
5/1/20,17,235,12.88,4.58
5/1/20,38,235,12.88,[NULL]
5/1/20,74,235,12.88,[NULL]
5/1/20,74,90,13.07,21
5/1/20,38,126,13.41,[NULL]
5/1/20,38,176,14.53,[NULL]
5/1/20,38,246,14.97,7
5/1/20,74,16,15.49,35
5/1/20,49,16,15.49,91
5/1/20,44,16,15.49,96
5/1/20,50,16,15.49,241
5/1/20,21,16,15.49,310
5/1/20,38,16,15.49,484
5/1/20,94,16,15.49,1110
5/1/20,82,16,15.49,1700
5/1/20,27,16,15.49,[NULL]
5/1/20,38,197,15.57,16
5/1/20,38,175,16.7,[NULL]
5/1/20,64,175,16.7,[NULL]
5/1/20,38,135,16.77,[NULL]
5/1/20,38,164,17.76,10
5/1/20,74,23,18.23,395
5/1/20,50,23,18.23,1500
5/1/20,64,23,18.23,2895
5/1/20,38,23,18.23,3759
5/1/20,38,70,20.35,1294
5/1/20,89,70,20.35,1836
5/1/20,27,70,20.35,[NULL]
5/1/20,94,172,20.75,100
5/1/20,50,172,20.75,160
5/1/20,27,172,20.75,650
5/1/20,89,172,20.75,680
5/1/20,74,172,20.75,1040
5/1/20,38,172,20.75,2030
5/1/20,30,172,20.75,2130
5/1/20,44,172,20.75,2330
5/1/20,17,172,20.75,[NULL]
5/1/20,38,260,22.42,1
5/1/20,38,83,25.67,1108
5/1/20,74,83,25.67,1220
5/1/20,64,167,25.77,2
5/1/20,38,278,25.82,566
5/1/20,50,278,25.82,755
5/1/20,64,278,25.82,2416
5/1/20,38,254,26.78,50
5/1/20,44,254,26.78,5678
5/1/20,27,254,26.78,[NULL]
5/1/20,38,220,27.31,4
5/1/20,38,229,27.63,5
5/1/20,38,62,27.67,[NULL]
5/1/20,38,226,27.92,2
5/1/20,27,145,27.94,250
5/1/20,50,145,27.94,780
5/1/20,38,145,27.94,1200
5/1/20,64,145,27.94,1660
5/1/20,44,145,27.94,2940
5/1/20,64,247,29.19,1
5/1/20,50,154,29.5,220
5/1/20,38,154,29.5,810
5/1/20,94,154,29.5,[NULL]
5/1/20,38,44,29.6,625
5/1/20,50,44,29.6,1109
5/1/20,38,87,30.6,8
5/1/20,38,9,31.33,7047
5/1/20,38,147,31.33,[NULL]
5/1/20,94,45,31.69,0.21
5/1/20,17,45,31.69,45.76
5/1/20,64,45,31.69,730
5/1/20,44,45,31.69,1960
5/1/20,38,45,31.69,2320
5/1/20,27,45,31.69,5370
5/1/20,74,45,31.69,[NULL]
5/1/20,38,242,32,4
5/1/20,38,140,33.57,17
5/1/20,64,140,33.57,26
5/1/20,38,4,34.04,2
5/1/20,64,4,34.04,18
5/1/20,38,124,34.24,[NULL]
5/1/20,38,125,34.42,12
5/1/20,38,178,34.66,[NULL]
5/1/20,38,168,35.68,5
5/1/20,38,249,35.73,6
5/1/20,74,249,35.73,[NULL]
5/1/20,44,100,37.3,85
